time,uniswap_volume,bybit_volume,uniswap_min_price,uniswap_max_price,bybit_min_price,bybit_max_price
2025-07-01 00:00:00+00:00,0.0,0.0,1.0001786116927605,1.000379188704617,0.9995,0.9996
2025-07-01 01:00:00+00:00,0.0,0.0,1.000177635034593,1.0003788218670042,0.9995,0.9996
2025-07-01 02:00:00+00:00,0.0,0.0,1.0000438938322116,1.000372800758287,0.9996,0.9996
2025-07-01 03:00:00+00:00,0.0,0.0,1.000066369107322,1.0002866558696255,0.9995,0.9996
2025-07-01 04:00:00+00:00,0.0,0.0,1.000092906061916,1.0002997940090204,0.9995,0.9996
2025-07-01 05:00:00+00:00,0.0,0.0,1.0001002240285817,1.0003140743935035,0.9995,0.9998
2025-07-01 06:00:00+00:00,0.0,0.0,1.0001138448130489,1.0003246717176264,0.9997,0.9998
2025-07-01 07:00:00+00:00,0.0,0.0,1.000124,1.0003273945175513,0.9997,0.9998
2025-07-01 08:00:00+00:00,0.0,0.0,1.0001256700664136,1.0003323518881448,0.9997,0.9998
2025-07-01 09:00:00+00:00,0.0,0.0,1.0001327366666668,1.0003450586506175,0.9997,0.9998
2025-07-01 10:00:00+00:00,0.0,0.0,1.0001444112791391,1.0003523694859222,0.9997,0.9998
2025-07-01 11:00:00+00:00,0.0,0.0,1.000151810589796,1.0003572730269998,0.9997,0.9998
2025-07-01 12:00:00+00:00,0.0,0.0,1.000157346258875,1.000359942283479,0.9997,0.9998
2025-07-01 13:00:00+00:00,0.0,0.0,1.0001599472222222,1.000367173381863,0.9997,0.9998
2025-07-01 14:00:00+00:00,0.0,0.0,1.0001669835,1.000396808029925,0.9997,0.9998
2025-07-01 15:00:00+00:00,0.0,0.0,1.0001985245627163,1.000399337765912,0.9997,0.9998
2025-07-01 16:00:00+00:00,0.0,0.0,1.000199070300752,1.000400978084048,0.9997,0.9998
2025-07-01 17:00:00+00:00,0.0,0.0,1.0002002695300056,1.0004049281719514,0.9997,0.9998
2025-07-01 18:00:00+00:00,0.0,0.0,1.0001976428091397,1.000404507505641,0.9997,0.9998
2025-07-01 19:00:00+00:00,0.0,0.0,1.0001801358,1.0004164318287552,0.9997,0.9998
2025-07-01 20:00:00+00:00,0.0,0.0,1.0001579743333333,1.000384245185052,0.9997,0.9998
2025-07-01 21:00:00+00:00,0.0,0.0,1.000157971458945,1.0003772971512297,0.9997,0.9999
2025-07-01 22:00:00+00:00,0.0,0.0,1.0001652200000002,1.000374340723636,0.9998,0.9999
2025-07-01 23:00:00+00:00,0.0,0.0,1.000163336807743,1.0003908479166663,0.9998,0.9999
2025-07-02 00:00:00+00:00,0.0,0.0,1.0001823080266212,1.0003888912646672,0.9998,0.9999
2025-07-02 01:00:00+00:00,0.0,0.0,1.0001671282431737,1.0004202704499248,0.9998,0.9999
2025-07-02 02:00:00+00:00,0.0,0.0,1.0001642528299688,1.000373335545692,0.9998,0.9999
2025-07-02 03:00:00+00:00,0.0,0.0,1.0001637630526752,1.0003760520799143,0.9998,0.9999
2025-07-02 04:00:00+00:00,0.0,0.0,1.0001588499181115,1.000370828642105,0.9998,0.9999
2025-07-02 05:00:00+00:00,0.0,0.0,1.000156068657321,1.0003625214997662,0.9998,0.9999
2025-07-02 06:00:00+00:00,0.0,0.0,1.000155,1.0003623998362798,0.9998,0.9999
2025-07-02 07:00:00+00:00,0.0,0.0,1.0001547866911378,1.0003655313143198,0.9998,0.9999
2025-07-02 08:00:00+00:00,0.0,0.0,1.0001694595343034,1.0003710984841805,0.9998,0.9999
2025-07-02 09:00:00+00:00,0.0,0.0,1.000170223037559,1.0003774066735422,0.9998,0.9999
2025-07-02 10:00:00+00:00,0.0,0.0,1.0001772008662866,1.0003778455341694,0.9998,0.9999
2025-07-02 11:00:00+00:00,0.0,0.0,1.000177234,1.0003790913963937,0.9998,0.9999
2025-07-02 12:00:00+00:00,0.0,0.0,1.000177,1.0003785702612082,0.9998,0.9999
2025-07-02 13:00:00+00:00,0.0,0.0,1.000176,1.0003779555896155,0.9998,0.9999
2025-07-02 14:00:00+00:00,0.0,0.0,1.000177,1.000403324461251,0.9998,0.9999
2025-07-02 15:00:00+00:00,0.0,0.0,1.0002031149193549,1.0004354766729011,0.9998,0.9999
2025-07-02 16:00:00+00:00,0.0,0.0,1.0002345352,1.0004946420102034,0.9998,0.9999
2025-07-02 17:00:00+00:00,0.0,0.0,1.0002936566705325,1.0005696208527373,0.9998,0.9999
2025-07-02 18:00:00+00:00,0.0,0.0,1.000367649122807,1.0006406823885272,0.9998,0.9999
2025-07-02 19:00:00+00:00,0.0,0.0,1.0004404586834734,1.000680604452901,0.9998,0.9999
2025-07-02 20:00:00+00:00,0.0,0.0,1.0004805141901083,1.0007377812395306,0.9998,0.9999
2025-07-02 21:00:00+00:00,0.0,0.0,1.000414989473228,1.0007099788181637,0.9998,0.9999
2025-07-02 22:00:00+00:00,0.0,0.0,1.0004146486666667,1.0006196775436187,0.9998,0.9999
2025-07-02 23:00:00+00:00,0.0,0.0,1.0004048362185372,1.0006233779841278,0.9998,0.9999
